source_group,series,controller,n,brownout_steps_mean,brownout_steps_sd,unserved_energy_mwh_mean,unserved_energy_mwh_sd,surplus_energy_mwh_mean,surplus_energy_mwh_sd,co2_kg_mean,co2_kg_sd,peak_deficit_mw_mean,peak_deficit_mw_sd,max_frequency_deviation_hz_mean,max_frequency_deviation_hz_sd,ticks_outside_freq_dead_band_mean,ticks_outside_freq_dead_band_sd,total_cost_eur_mean,total_cost_eur_sd,lcoe_eur_per_mwh_mean,lcoe_eur_per_mwh_sd
baseline,baseline_n15,naive,15,59.86666666666667,1.1254628677422756,1248.2956687090084,19.19630916772228,400.4123725456019,15.701107635112182,26733.749999999996,0.0,183.04534395833846,2.152339655198484,0.9152267197916918,0.010761698275992293,64.06666666666666,3.104528182847635,8925347.674713058,134374.16417405594,2232.806845596495,47.2120184348138
baseline,baseline_n15,rule_based,15,63.733333333333334,2.5764501233470907,233.2531468410645,27.380998056608135,20.878127103203806,5.534384821261453,26733.750000000004,2.245409268101385e-12,73.2631022232897,11.31487696340457,0.3663155111164495,0.05657438481702334,5.066666666666666,1.8309508328682538,1822436.5275252543,191666.6012672286,398.03743388721426,44.12920858244171
claude_live,reihe_01,claude_subagent,5,52.8,6.534523701081817,958.928190397484,111.93253299223956,623.406515360387,72.25642427363876,27028.274999999998,191.24465678810688,163.68726581069726,18.575672213933153,0.9404489637347396,0.07622267425936934,62.4,5.319774431308154,6912542.682809741,786712.3948756395,1405.2226431776435,158.67059474562214
claude_live,reihe_02,claude_subagent,5,55.4,2.5099800796022267,1098.910458796489,177.4971463159389,717.6332063942327,189.52008030654517,27030.199999999997,76.2139566450953,213.39041889535014,52.0105712433039,0.9604586905269343,0.08841705590113122,64.2,14.096098751072937,7893732.265759632,1244010.5449073028,1550.8435789745981,207.9070719465598
claude_live,reihe_03,claude_subagent,5,58.2,5.848076606885378,1028.8658004837225,168.84319739156078,662.5058108274936,135.13081303918406,27010.949999999997,71.51057614087084,178.9611161401001,28.63343273413138,0.9029228137098343,0.14749092663196464,60.4,7.700649323271382,7402355.426939381,1183969.660989642,1468.5072986774314,207.8113889316049
codex_operator,round_01_codex_r1,codex_operator,15,57.0,4.59813626840888,304.13531646420273,27.730209842555105,10.207419165731604,4.846513951881333,26466.767954757208,19.849902194552634,118.35455294159905,6.544778012096105,0.5917727647079952,0.0327238900604818,14.466666666666667,0.990430401872025,2312448.4343727925,193675.89773672522,514.1629102349498,46.11311941545339
codex_operator,round_02_codex_r2,codex_r2,15,56.53333333333333,4.437931736207543,300.01031646420273,27.73020984255515,10.207419165731604,4.846513951881334,26631.233497983754,12.253724925164857,116.90442164261327,7.218848632699208,0.5845221082130664,0.036094243163497255,13.066666666666666,0.7988086367179802,2287370.121438177,193853.1610077936,508.1236529699397,46.07325954342392
codex_operator,round_03_codex_r3,codex_r3,15,57.13333333333333,4.51769009666708,300.0103164642027,27.730209842555148,10.207419165731602,4.8465139518813345,26618.567594493947,12.236215268708658,103.20440490210878,7.914041785185309,0.5160220245105436,0.03957020892592613,13.533333333333333,0.9154754164341269,2287077.7290561143,193840.4844205442,508.0587215507396,46.06991998217563
