round,controller,seed,brownout_steps,unserved_energy_mwh,surplus_energy_mwh,co2_kg,peak_deficit_mw,max_frequency_deviation_hz,ticks_outside_freq_dead_band,total_cost_eur,lcoe_eur_per_mwh,path
round_02_codex_r2,codex_r2,41,56,279.5880033145703,5.052850005164023,26635.465907979014,116.68903386855078,0.5834451693427525,12,2144512.409488046,474.526146614298,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_41\codex_r2.csv
round_02_codex_r2,codex_r2,42,58,303.08344857217133,14.407562054890958,26623.6071745295,123.70357406118285,0.6185178703059151,13,2308703.7616292126,512.4969528095062,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_42\codex_r2.csv
round_02_codex_r2,codex_r2,55,49,307.8265011144771,14.865809723522155,26621.250000000004,115.10573994668633,0.5755286997334323,13,2341850.71405134,520.3500064227031,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_55\codex_r2.csv
round_02_codex_r2,codex_r2,67,62,327.6578386761698,6.5011575416742575,26621.25,118.81375530620882,0.5940687765310457,14,2480670.0769831883,554.6701517076804,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_67\codex_r2.csv
round_02_codex_r2,codex_r2,73,57,265.6206698799431,17.674099911041523,26651.890319730548,102.80263054539208,0.5140131527269602,12,2047117.2271905812,450.35693403534225,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_73\codex_r2.csv
round_02_codex_r2,codex_r2,88,54,299.42105478910844,4.344971711816204,26632.380180943685,111.35740880013323,0.5567870440006644,13,2283273.656236357,507.5240510903446,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_88\codex_r2.csv
round_02_codex_r2,codex_r2,99,57,289.76257297075335,9.941920668251633,26634.39482356663,122.62028832299582,0.6131014416149796,13,2215719.6560591655,490.74246638198645,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_02_codex_r2\seed_99\codex_r2.csv
round_03_codex_r3,codex_r3,3,51,315.49721426455295,7.175358975715704,26614.46940793371,103.17102830653675,0.5158551415326826,14,2395389.1761340206,534.0689206285942,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_03\codex_r3.csv
round_03_codex_r3,codex_r3,5,62,258.5002628053985,5.1800101226804,26637.828945614277,100.71491803944294,0.5035745901972177,13,1996949.7708472952,439.8402841111536,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_05\codex_r3.csv
round_03_codex_r3,codex_r3,7,57,316.6667304260729,15.9583890247216,26608.759553161388,113.85522831666088,0.5692761415833019,14,2403443.9772672406,534.9567135038418,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_07\codex_r3.csv
round_03_codex_r3,codex_r3,13,66,322.6289135653826,10.588126449340258,26602.5,114.7547078182267,0.5737735390911354,14,2445034.757457678,545.5901359841923,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_13\codex_r3.csv
round_03_codex_r3,codex_r3,17,56,327.89925702151214,16.843566812667703,26602.5,102.03587871670322,0.5101793935835133,14,2481927.161650585,553.7006711267999,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_17\codex_r3.csv
round_03_codex_r3,codex_r3,19,58,286.64760508443703,3.767194489174711,26621.25,106.82345600570093,0.5341172800285037,13,2193611.7823603726,486.17147637549607,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_19\codex_r3.csv
round_03_codex_r3,codex_r3,23,60,347.2007871875649,8.713398183393302,26602.500000000004,112.99850729743925,0.5649925364871962,15,2617037.8728129542,587.4379452656331,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_23\codex_r3.csv
round_03_codex_r3,codex_r3,31,51,252.1538872909263,12.096871811919609,26640.000000000004,93.89543661801206,0.4694771830900635,12,1952575.261036484,428.8138320903671,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_31\codex_r3.csv
round_03_codex_r3,codex_r3,41,56,279.5880033145702,5.052850005164023,26628.085856856243,93.52505709373152,0.46762528546865667,13,2144342.0410078764,474.48844839532666,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_41\codex_r3.csv
round_03_codex_r3,codex_r3,42,58,303.08344857217133,14.407562054890958,26621.25,97.10884218835804,0.48554421094178934,14,2308649.346255199,512.4848734280665,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_42\codex_r3.csv
round_03_codex_r3,codex_r3,55,49,307.826501114477,14.865809723522155,26621.250000000004,105.46886398146705,0.5273443199073355,14,2341850.7140513393,520.350006422703,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_55\codex_r3.csv
round_03_codex_r3,codex_r3,67,62,327.6578386761697,6.5011575416742575,26606.616668644856,100.49527294000072,0.5024763647000015,15,2480332.2665288546,554.5946183355918,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_67\codex_r3.csv
round_03_codex_r3,codex_r3,73,58,265.6206698799431,17.674099911041523,26629.00348519872,87.76274052592026,0.4388137026296022,12,2046588.8846154138,450.24070095444574,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_73\codex_r3.csv
round_03_codex_r3,codex_r3,88,55,299.4210547891082,4.344971711816199,26621.250000000004,109.15484915213514,0.5457742457606756,13,2283016.716009271,507.4669386436684,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_88\codex_r3.csv
round_03_codex_r3,codex_r3,99,58,289.7625729707533,9.941920668251628,26621.25,106.30128653129611,0.531506432656478,13,2215416.2078071292,490.67525799521405,C:\Users\pnino\Desktop\smartgridsim\results\codex_operator_rounds\round_03_codex_r3\seed_99\codex_r3.csv
