source_group,series,controller,seed,steps,brownout_steps,unserved_energy_mwh,surplus_energy_mwh,co2_kg,renewable_share_of_demand,peak_deficit_mw,max_frequency_deviation_hz,ticks_outside_freq_dead_band,total_cost_eur,market_revenue_eur,net_eur,lcoe_eur_per_mwh,reproducibility_hash,metrics_path,csv_path,endstate_path
claude_live,reihe_02,claude_subagent,55,96,57,1220.5868676697692,837.9857455584814,27041.749999999996,0.5087091692062704,195.73509983802276,1.0,73,8745432.062438384,330740.13064618496,-8414691.9317922,1736.0356577887358,ba015dcd720809d1,02_claude_live\reihe_02\seed_55\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_55\claude_subagent.csv,02_claude_live\reihe_02\seed_55\claude_subagent.endstate.json
claude_live,reihe_02,claude_subagent,73,96,56,1012.5170182253985,643.7252696850691,27138.000000000007,0.5146523521824774,256.93638760771654,1.0,59,7291475.73257779,357043.9800737397,-6934431.75250405,1436.3844862650565,07980a98f13b0559,02_claude_live\reihe_02\seed_73\claude_subagent.metrics.json,02_claude_live\reihe_02\seed_73\claude_subagent.csv,02_claude_live\reihe_02\seed_73\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,5,96,54,875.5313365385663,607.1086949985091,26907.000000000004,0.5382694470902359,133.38687061195589,0.66693435305978,66,6325391.355769964,363520.40610364923,-5961870.949666315,1283.6270293733648,a6c2466507bb7000,02_claude_live\reihe_03\seed_05\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_05\claude_subagent.csv,02_claude_live\reihe_03\seed_05\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,19,96,67,1223.7057887493488,831.5290171164345,27022.499999999993,0.4991961369684203,193.29494058369806,1.0,67,8767521.193745442,330443.83314362494,-8437077.360601816,1701.8463854384906,274377deb0b3cdcf,02_claude_live\reihe_03\seed_19\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_19\claude_subagent.csv,02_claude_live\reihe_03\seed_19\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,41,96,60,831.946677432088,477.3012623741588,26984.0,0.5249784295190129,169.53594309787835,0.8476797154893916,52,6022243.327024616,367660.9487187646,-5654582.3783058515,1220.875198454387,9206a24876a6b03d,02_claude_live\reihe_03\seed_41\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_41\claude_subagent.csv,02_claude_live\reihe_03\seed_41\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,67,96,58,1077.381950642632,650.6442306390215,27099.49999999999,0.49710870946052194,192.9164394793788,1.0,52,7744885.117760197,344344.5977637628,-7400540.519996434,1529.6375053224137,bdb17a9dbb2d2d30,02_claude_live\reihe_03\seed_67\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_67\claude_subagent.csv,02_claude_live\reihe_03\seed_67\claude_subagent.endstate.json
claude_live,reihe_03,claude_subagent,88,96,52,1135.763249055977,745.9458490093442,27041.75,0.5042619954536258,205.67138692758942,1.0,65,8151736.140396686,338798.3744144949,-7812937.765982191,1606.5503747985015,bc60049b20f32c45,02_claude_live\reihe_03\seed_88\claude_subagent.metrics.json,02_claude_live\reihe_03\seed_88\claude_subagent.csv,02_claude_live\reihe_03\seed_88\claude_subagent.endstate.json
codex_operator,round_01_codex_r1,codex_operator,3,96,51,319.62221426455255,7.17535897571571,26457.28713774493,0.5721846991771989,123.6807065853421,0.6184035329267132,15,2420635.62342671,416331.7727196803,-2004303.8507070295,540.194610038398,2acc753c350c1ec2,03_codex_operator\round_01_codex_r1\seed_03\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_03\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,5,96,62,262.62526280539856,5.180010122680401,26500.379685520053,0.5834871784362116,106.01411063850672,0.5300705531925303,13,2022651.7546780203,421746.4831082998,-1600905.2715697205,445.9064328180836,2cd9f5df3a52b33a,03_codex_operator\round_01_codex_r1\seed_05\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_05\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,7,96,57,320.79173042607283,15.958389024721596,26451.78673567741,0.5733631179750865,107.99248552444169,0.539962427622207,15,2428695.2597756227,416220.6686843357,-2012474.591091287,541.0739057932923,dedfa964690ed44d,03_codex_operator\round_01_codex_r1\seed_07\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_07\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,13,96,66,326.7539135653828,10.588126449340255,26442.410166863276,0.5712371208943621,128.21796072651782,0.6410898036325889,15,2470214.0836597183,415654.26128610136,-2054559.822373617,551.7165367437881,daa67e5d083b9c07,03_codex_operator\round_01_codex_r1\seed_13\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_13\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,17,96,57,332.0242570215122,16.843566812667692,26442.751955787222,0.5714426281145181,123.61100999496772,0.6180550499748421,15,2507114.3780499334,415153.578657769,-2091960.7993921642,559.8349567933901,1228861206ac79ec,03_codex_operator\round_01_codex_r1\seed_17\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_17\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,19,96,58,290.7726050844371,3.767194489174716,26471.25,0.5771801103706841,122.28313031444874,0.6114156515722442,14,2219024.032360373,419072.48559179116,-1799951.546768582,492.2536395378147,e84579f49cf70926,03_codex_operator\round_01_codex_r1\seed_19\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_19\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,23,96,60,351.32578718756486,8.713398183393306,26449.546001648967,0.5657199300506064,120.86917321393778,0.6043458660696857,16,2642381.9297610205,413319.93329199415,-2229061.9964690264,593.6765430858806,335638b0f966a7d4,03_codex_operator\round_01_codex_r1\seed_23\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_23\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,31,96,50,256.2788872909264,12.096871811919623,26505.78864439604,0.586254105210714,122.31643983331487,0.6115821991665769,13,1978351.9918923674,422349.3887821748,-1556002.6031101926,434.8687276895267,4a23260f2250f7df,03_codex_operator\round_01_codex_r1\seed_31\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_31\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,41,96,56,283.71300331457036,5.052850005164025,26478.93692422001,0.5790296633056646,116.68903386855078,0.5834451693427525,14,2169773.93789797,419743.14775992866,-1750030.7901380414,480.5545113179894,d4278ae6dfa8d5de,03_codex_operator\round_01_codex_r1\seed_41\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_41\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,42,96,58,307.2084485721715,14.407562054890956,26457.414507159483,0.5758321622853491,123.70357406118285,0.6185178703059151,15,2333742.2039029775,417511.0804604564,-1916231.123442521,518.5299154318609,69a936ccc9fc4e08,03_codex_operator\round_01_codex_r1\seed_42\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_42\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,55,96,49,311.9515011144771,14.86580972352216,26457.298810146287,0.5752175388655525,115.12878861407815,0.5756439430703892,15,2366940.9008335667,417060.49046893726,-1949880.4103646295,526.4074304596726,c40f59fe5b2ccec9,03_codex_operator\round_01_codex_r1\seed_55\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_55\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,67,96,62,331.7828386761699,6.5011575416742575,26453.255438297943,0.5693353972920632,118.81375530620882,0.5940687765310457,16,2505666.922526297,415176.5134005765,-2090490.4091257206,560.7765941399738,901e0c9f4572b281,03_codex_operator\round_01_codex_r1\seed_67\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_67\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,73,96,57,269.74566987994325,17.674099911041527,26488.99191142808,0.584608215958965,112.02042831935866,0.5601021415967935,13,2072231.7174349201,421070.0444362181,-1651161.6729987022,456.29609380490126,2740c19797b161ae,03_codex_operator\round_01_codex_r1\seed_73\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_73\codex_operator.csv,
